央视卫视,#genre#
ggf4,https://cdn-main.lolokoko.tv/HUSTLER.stream/chunks.m3u8
CCTV1,http://23.237.100.82:8000/BRAZZERS/index.m3u8
CCTV2,http://23.237.100.82:8000/HUSTLER/index.m3u8
CCTV2,http://23.237.100.82:8000/PENTHOUSE/index.m3u8
CCTV3,https://j9.avstatic.com/contents/videos/30000/30135/index.m3u8
CCTV4,http://46.23.144.153:81/udp/239.1.21.71:1234
CCTV5,http://a1.hdflix.live:8880/LZLM5786/Akk60pCne2/2973
CCTV5+,http://a1.hdflix.live:8880/LZLM5786/Akk60pCne2/60696
CCTV6,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
38,https://cdn3.yuan-baidu.com/800k/m3u8/202010/20/4590c06ebd08/index.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
凤凰卫视中文台,http://60.250.216.209:8570/http/61.67.128.130:8078/hls/21/80/phoenixch.m3u8
凤凰卫视资讯台,http://60.250.216.209:8577/http/61.67.128.130:8078/hls/20/80/phoenixif.m3u8
53343,https://cdn-main.lolokoko.tv/HUSTLER.stream/chunks.m3u8
江苏卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
深圳卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
黑龙江卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
13,https://ad2.npsql.xyz:2053/tv/redlight/playlist.m3u8?wmsAuthSign=c2VydmVyX3RpbWU9MTIvMTUvMjAyMyAxOjUzOjI2IEFNJmhhc2hfdmFsdWU9YWhtcGtBS2ZabmJhblhQTSswaGNyUT09JnZhbGlkbWludXRlcz02MA==
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8?k=1a7559a51eeb880b021619a07f463ac4&t=1577153787
南京少儿,http://live.nbs.cn/channels/njtv/sepd/500k.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
JStar极限台,mitv://ns2.hellotvvod.com:9906/26901ab1209b471d9fe6c50e145115cd
彩虹e,mitv://45.92.126.18:9906/62668da3000bd6cc134cc0d079365057
彩虹e,p2p://54.39.16.152:9906/62668da3000bd6cc134cc0d079365057
彩虹e,P2p://fccs.word-tv.com:9906/62668da3000bd6cc134cc0d079365057
彩虹电影,mitv://45.92.126.18:9906/6260e2d0000cf56c172d19afe4aa1d66
彩虹电影,p2p://54.39.16.152:9906/6260e2d0000cf56c172d19afe4aa1d66
彩虹电影,P2p://fccs.word-tv.com:9906/6260e2d0000cf56c172d19afe4aa1d66
K频道,mitv://45.92.126.18:9906/6263c0cd0009e68a085c9c619861891f
K频道,p2p://54.39.16.152:9906/6263c0cd0009e68a085c9c619861891f
K频道,P2p://fccs.word-tv.com:9906/6263c0cd0009e68a085c9c619861891f
看电视,P2p://fccs.word-tv.com:9906/6260e2e2000f16e6172d608b5505fbdd
看电视,p2p://54.39.16.152:9906/6260e2e2000f16e6172d608b5505fbdd
看电视,mitv://45.92.126.18:9906/6260e2e2000f16e6172d608b5505fbdd
幻灯片电影,mitv://4506/6260e2b000004933172c99712568d815
幻灯片电影,p2p://594.39.16.152:9906/6260e2b000004933172c99712568d815
惊艳台,mitv://45.92.126.18:9906/6260e27a0006cf41172bc82c06b29fb9
惊艳台,p2p://54.39.16.152:9906/6260e27a0006cf41172bc82c06b29fb9
潘朵啦玩美,mitv://45.92.126.18:9906/6260e259000d442b172b48ecdda91b31
